module,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status,original_module,shown_in_revised_figure,audit_assessment,decision_reason,biological_role,published_evidence,experimental_context,interpretation_limit,evidence_location,citation,source_urls,flybase_id,human_entrez_ids,human_symbols,diopt_confidence_levels,mapping_rule,source,display_column,component_group_order,component_group,subunit_display_order,grouping_rationale,grouping_reference,in_full_orthology_survey,display_order,role,reference_key,reference,doi,source_url,published_fly_evidence
DNA replication/genome maintenance,timeout,597.128150677276,3.96185054231995,0.229392665015106,17.2710428298091,7.772513332445899e-67,2.89759297033583e-63,Up in CS,DNA replication,true,Broader label,Retained under the broader functional heading supported by the experiment.,Timeless2; chromosome stability,timeless2/timeout disruption causes chromosome-stability defects in flies.,D. melanogaster; mutant and RNAi analyses.,The fly evidence is broader than core DNA synthesis. timeout is distinct from circadian timeless/tim.,Abstract and chromosome-stability results.,Benna C et al. (2010),https://pubmed.ncbi.nlm.nih.gov/20153199/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,PolD2,43.5323857659035,0.512742702414053,0.374642401655355,1.36861898212403,0.171118407280551,0.745680213140731,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,DNA polymerase delta structural subunit; Pol31,Pol31 is localized and genetically tested with the Pol delta complex in fly embryos.,D. melanogaster; genetic interaction and protein localization.,PolD2 is the current symbol corresponding to Pol31. This is not merely evidence from the human POLD2 gene.,"Figs. 3–4, genetic-interaction results and Methods (CG12018).",Ji J et al. (2019),https://pubmed.ncbi.nlm.nih.gov/31100062/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,Top1,35.7402340674806,0.447100270645624,0.486735953943817,0.918568408647354,0.358321362262846,0.936191315319529,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,DNA topoisomerase I,Fly Top1 mutations establish an essential role for a DNA-topology enzyme involved in multiple DNA processes.,D. melanogaster; cloning and mutagenesis.,Top1 also functions in transcription and recombination. It is not specific to replication.,Abstract and mutant characterization.,Lee MP et al. (1993),https://pubmed.ncbi.nlm.nih.gov/8393572/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,PolE2,22.8600188313595,0.319281497283323,0.541519779317334,0.589602650684015,0.555457074199532,0.982021324378881,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,DNA polymerase epsilon p58 subunit,PolE2-null flies show reduced DNA synthesis and endoreplication defects.,D. melanogaster eye discs and salivary glands.,"A polymerase subunit with additional cell-cycle phenotypes, not a measurement of replication rate in the present RNA-seq.",Abstract and BrdU/endoreplication results.,Sahashi R et al. (2013),https://pubmed.ncbi.nlm.nih.gov/24224125/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,PCNA2,68.4016203145936,0.271114369795603,0.343247520843827,0.789850919036808,0.429614837863529,0.958293050756269,Not significant,DNA replication,true,Broader label,Retained under the broader functional heading supported by the experiment.,Second PCNA-like sliding clamp,"PCNA2 forms a nuclear trimer, associates with Pol delta/epsilon and responds to DNA-damaging treatments.",D. melanogaster; biochemical and cell-based experiments.,The authors propose a DNA-repair role. PCNA2 must not be equated with the canonical mus209/PCNA gene.,Abstract and DNA-damage/chromatin-association experiments.,Ruike T et al. (2006),https://pubmed.ncbi.nlm.nih.gov/17087725/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,Cdc45,226.00049949791,0.266059989035532,0.215248035022262,1.23606233621605,0.216435393519045,0.819158524912692,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Cdc45 component of CMG,Cdc45 is identified in the purified fly Cdc45–Mcm2–7–GINS complex.,D. melanogaster embryo protein purification.,This supports complex membership. The RNA-seq does not measure helicase activity.,"Purification, subunit identification and helicase assays.",Moyer SE et al. (2006),https://pubmed.ncbi.nlm.nih.gov/16798881/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,Mcm6,122.634567285507,0.213819235579263,0.249246177614887,0.857863649606844,0.390967758381744,0.943246460718841,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Mcm2–7 helicase subunit 6,Mcm6 is identified in the purified fly Cdc45–Mcm2–7–GINS complex.,D. melanogaster embryo protein purification.,This supports complex membership. The RNA-seq does not measure helicase activity.,"Purification, subunit identification and helicase assays.",Moyer SE et al. (2006),https://pubmed.ncbi.nlm.nih.gov/16798881/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,Cdc6,40.0430395677709,0.189313973113576,0.382154232329408,0.495386305051809,0.620327459892011,0.986976325248193,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Replication-origin co-loader,Fly Cdc6 assembles with ORC and DNA in a structurally characterized origin-binding complex.,Purified D. melanogaster proteins; cryo-EM and biochemical assays.,"A replication-initiation factor, not evidence that origin firing increases in the present samples.",Structures and assembly of DmORC–DNA–Cdc6.,Schmidt JM et al. (2020),https://pubmed.ncbi.nlm.nih.gov/32848132/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,Mcm2,110.97979283758,0.160438023371415,0.309737572925274,0.517980501545809,0.604471873643882,0.986976325248193,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Mcm2–7 helicase subunit 2,Mcm2 is identified in the purified fly Cdc45–Mcm2–7–GINS complex.,D. melanogaster embryo protein purification.,This supports complex membership. The RNA-seq does not measure helicase activity.,"Purification, subunit identification and helicase assays.",Moyer SE et al. (2006),https://pubmed.ncbi.nlm.nih.gov/16798881/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,PolE1,77.6206816765049,0.114185666777657,0.340594525768717,0.335253969569656,0.737433513387052,0.99417184827796,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,DNA polymerase epsilon catalytic p255 subunit,PolE1 knockdown impairs DNA synthesis and endoreplication in flies.,D. melanogaster eye discs and salivary glands.,Catalytic and noncatalytic regions have different requirements across cell-cycle contexts.,RNAi and domain-rescue results.,Suyari O et al. (2012),https://pubmed.ncbi.nlm.nih.gov/22245183/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,DNAlig4,95.7257972565937,0.107859394587386,0.255759396836212,0.421722118215892,0.673227858171741,0.992945267671872,Not significant,DNA replication,true,Broader label,Retained under the broader functional heading supported by the experiment.,DNA ligase IV; double-strand break repair,Ligase-IV mutants are defective in repair of radiation-induced DNA double-strand breaks.,D. melanogaster; damage-sensitivity and repair genetics.,"Supports DNA repair, not membership in the core replication machinery.",Radiation-induced double-strand-break repair results.,Gorski MM et al. (2003),https://pubmed.ncbi.nlm.nih.gov/14704177/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,Prim2,34.8042538649195,0.0914664338495171,0.476955213805314,0.191771535779568,0.847921168264719,0.99686926944711,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Large DNA-primase subunit (60 kDa),The fly large-primase-subunit gene was cloned and related to the purified primase complex.,D. melanogaster; molecular cloning and protein identity.,An accessory primase subunit. Do not call it the small catalytic Prim1 subunit.,"Cloning, mapping and sequence characterization.",Huikeshoven H et al. (1999),https://pubmed.ncbi.nlm.nih.gov/10366721/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,Mcm5,112.714266553412,0.0103033764923882,0.334368054817382,0.0308144762752992,0.975417495504494,0.99773756738846,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Mcm2–7 helicase subunit 5,Mcm5 is identified in the purified fly Cdc45–Mcm2–7–GINS complex.,D. melanogaster embryo protein purification.,This supports complex membership. The RNA-seq does not measure helicase activity.,"Purification, subunit identification and helicase assays.",Moyer SE et al. (2006),https://pubmed.ncbi.nlm.nih.gov/16798881/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,RfC4,139.026327503176,-0.0103507871740871,0.217768940319734,-0.0475310535969447,0.962089981105918,0.997114164749545,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Replication factor C subunit 4,RfC4 mutants show replication-associated and DNA-damage checkpoint defects.,D. melanogaster larval neuroblasts.,Correct fly locus is CG14999. Subunit numbering differs across species.,Mutant phenotypes and replication-inhibitor experiments.,Krause SA et al. (2001),https://pubmed.ncbi.nlm.nih.gov/11438670/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,Orc4,56.2712347103285,-0.0257771511889062,0.353413524316079,-0.0729376478695595,0.941855735045378,0.997029291296654,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Origin recognition complex subunit 4,"Orc4 is included in a reconstituted, replication-competent fly ORC.",D. melanogaster recombinant proteins and replication extracts.,Complex membership does not imply all subunits have identical catalytic roles.,"ORC cloning, reconstitution and replication-complementation assays.",Chesnokov I et al. (1999),https://pubmed.ncbi.nlm.nih.gov/10346817/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,PolD1,111.639663523917,-0.0486446634175068,0.257964137231198,-0.188571419033761,0.850428735195879,0.99686926944711,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,DNA polymerase delta catalytic subunit; PolD,The fly PolD catalytic subunit is localized and genetically tested in the Pol delta replication complex.,D. melanogaster embryos; localization and genetic interactions.,Has replication and genome-maintenance roles. Transcript abundance is not enzyme activity.,Figs. 3–4 and PolD genetic-interaction results.,Ji J et al. (2019),https://pubmed.ncbi.nlm.nih.gov/31100062/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,RnrL,238.625766022611,-0.0650372088309907,0.224351767966846,-0.289889442015013,0.771900819038304,0.995422089238374,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Ribonucleotide reductase large subunit,The large RNR-subunit gene was cloned and examined in the fly G1/S expression program.,D. melanogaster developmental expression.,Provides nucleotide precursors for DNA synthesis. It is not a replisome subunit or replication-specific activity readout.,Cloning and developmental expression of DmRNR1/DmRNR2.,Duronio RJ et al. (1994),https://pubmed.ncbi.nlm.nih.gov/8050359/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,Orc1,29.6679072891108,-0.0649017217222435,0.533546635029059,-0.121642078613632,0.903182487004705,0.997029291296654,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Origin recognition complex subunit 1,"Orc1 is included in a reconstituted, replication-competent fly ORC.",D. melanogaster recombinant proteins and replication extracts.,Complex membership does not imply all subunits have identical catalytic roles.,"ORC cloning, reconstitution and replication-complementation assays.",Chesnokov I et al. (1999),https://pubmed.ncbi.nlm.nih.gov/10346817/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,RPA1,548.90757561938,-0.0958906218788434,0.14343514645853,-0.668529466078716,0.503795679356284,0.981947296700208,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Replication protein A large subunit; RpA-70,Purified fly RPA binds single-stranded DNA through its large subunit and stimulates DNA polymerase alpha.,D. melanogaster embryo protein biochemistry.,RPA also functions in repair and replication stress. RPA1 is the former RpA-70 locus.,Purified dRP-A subunit and DNA-binding assays.,Marton RF et al. (1994),https://pubmed.ncbi.nlm.nih.gov/8143866/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,Mcm7,22.1712900411887,-0.11412031457924,0.60403052252506,-0.188931370723084,0.850146606051828,0.99686926944711,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Mcm2–7 helicase subunit 7,Mcm7 is identified in the purified fly Cdc45–Mcm2–7–GINS complex.,D. melanogaster embryo protein purification.,This supports complex membership. The RNA-seq does not measure helicase activity.,"Purification, subunit identification and helicase assays.",Moyer SE et al. (2006),https://pubmed.ncbi.nlm.nih.gov/16798881/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,Orc5,32.9502712185815,-0.135288412877265,0.411193259693632,-0.329014179313309,0.742144970619591,0.995042780244501,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Origin recognition complex subunit 5,"Orc5 is included in a reconstituted, replication-competent fly ORC.",D. melanogaster recombinant proteins and replication extracts.,Complex membership does not imply all subunits have identical catalytic roles.,"ORC cloning, reconstitution and replication-complementation assays.",Chesnokov I et al. (1999),https://pubmed.ncbi.nlm.nih.gov/10346817/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,PolA1,108.007523136881,-0.172865248242131,0.340503806484297,-0.507674936227484,0.611681328383098,0.986976325248193,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,DNA polymerase alpha catalytic subunit,The intact fly alpha–primase preparation contains the catalytic polymerase polypeptide.,D. melanogaster embryo protein purification.,The historical paper uses molecular-weight/subunit terminology rather than the modern PolA1 symbol.,Purification and polymerase activity.,Kaguni LS et al. (1983),https://pubmed.ncbi.nlm.nih.gov/6403945/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,RnrS,296.833872726896,-0.199928380146058,0.205385696796397,-0.973428935240075,0.330340163767192,0.91912099243809,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Ribonucleotide reductase small subunit,The small RNR-subunit gene was cloned and examined in the fly G1/S expression program.,D. melanogaster developmental expression.,Provides nucleotide precursors for DNA synthesis. It is not a replisome subunit or replication-specific activity readout.,Cloning and developmental expression of DmRNR1/DmRNR2.,Duronio RJ et al. (1994),https://pubmed.ncbi.nlm.nih.gov/8050359/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,Orc6,13.9160331648415,-0.20214760608673,0.689895377690323,-0.293011973443703,0.769512999681863,0.99515271483221,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Origin recognition complex subunit 6,"Orc6 is included in a reconstituted, replication-competent fly ORC.",D. melanogaster recombinant proteins and replication extracts.,Complex membership does not imply all subunits have identical catalytic roles.,"ORC cloning, reconstitution and replication-complementation assays.",Chesnokov I et al. (1999),https://pubmed.ncbi.nlm.nih.gov/10346817/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,Mcm10,30.1978409056486,-0.361587636496695,0.544473883742637,-0.664104647244404,0.506623335978598,0.981947296700208,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Replication-initiation-associated protein,Fly Mcm10 interacts with replication factors and its depletion reduces cellular DNA content.,D. melanogaster KC cells; RNAi and interaction assays.,Mcm10 is not one of the six Mcm2–7 helicase subunits.,Interaction assays and depletion/DNA-content results.,Christensen TW et al. (2003),https://pubmed.ncbi.nlm.nih.gov/12808023/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,Orc2,24.8199839269831,-0.392622071765697,0.577483333285102,-0.679884680882834,0.496577482199233,0.981366694783537,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Origin recognition complex subunit 2,"Orc2 is included in a reconstituted, replication-competent fly ORC.",D. melanogaster recombinant proteins and replication extracts.,Complex membership does not imply all subunits have identical catalytic roles.,"ORC cloning, reconstitution and replication-complementation assays.",Chesnokov I et al. (1999),https://pubmed.ncbi.nlm.nih.gov/10346817/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,Prim1,51.7888739924084,-0.531749445038142,0.359203169531783,-1.48035844375001,0.138777613935916,0.674527959260882,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,Small catalytic DNA-primase subunit (50 kDa),Recombinant fly Prim1 synthesizes RNA primers.,D. melanogaster protein expressed and assayed biochemically.,Distinguish the catalytic Prim1 subunit from Prim2.,Functional analysis of the overexpressed 50-kDa primase.,Bakkenist CJ et al. (1994),https://pubmed.ncbi.nlm.nih.gov/7929411/,,,,,,,,,,,,,,,,,,,,
DNA replication/genome maintenance,PolA2,33.4210135720123,-0.549914468480818,0.4216308994814,-1.3042556158887,0.192146442909421,0.786643450369876,Not significant,DNA replication,true,Supported,Retained with individual experimental publication support.,DNA polymerase alpha accessory subunit (73 kDa),The 73-kDa fly alpha–primase subunit was cloned from the purified enzyme.,D. melanogaster; cloning and protein characterization.,No catalytic activity was assigned to this accessory subunit in the cited study.,Cloning and characterization of the 73-kDa subunit.,Cotterill S et al. (1992),https://pubmed.ncbi.nlm.nih.gov/1508723/,,,,,,,,,,,,,,,,,,,,
Mitochondrial/metabolic genes,COX4,34.0248204243862,0.110054617811779,0.55267159734339,0.199132031283668,0.842159465610142,0.99686926944711,Not significant,Spargel,true,Context-dependent,Retained for published mitochondrial/metabolic function under a broader heading; no Spargel-target claim.,Cytochrome-c oxidase subunit 4,COX4 is explicitly measured in a published spargel-overexpression study of mitochondrial gene expression.,D. melanogaster larvae/adults; mitochondrial-disease model.,The study reports limited overall transcriptional effects. Inclusion as a tested marker does not prove direct or universal Srl regulation.,qRT-PCR gene list and mitochondrial-expression analysis.,George J et al. (2019),https://pubmed.ncbi.nlm.nih.gov/31292108/,,,,,,,,,,,,,,,,,,,,
Mitochondrial/metabolic genes,ERR,61.5148550114339,-0.0433404257080577,0.371627466771496,-0.116623311200802,0.907158564110906,0.997029291296654,Not significant,Spargel,true,Not verified,Retained for published mitochondrial/metabolic function under a broader heading; no Spargel-target claim.,Estrogen-related receptor; metabolic transcription factor,Fly ERR mutants establish a role in developmental carbohydrate metabolism.,D. melanogaster developmental genetic study.,A fly Srl–ERR interaction or Srl-dependent regulation of ERR was not verified. Mammalian PGC-1/ERR interactions are not sufficient.,Mutant metabolic and developmental phenotypes.,Tennessen JM et al. (2011),https://pubmed.ncbi.nlm.nih.gov/21284981/,,,,,,,,,,,,,,,,,,,,
Mitochondrial/metabolic genes,Scox,861.920291794672,-0.0483980800659627,0.138275627579805,-0.350011646398277,0.726329957269516,0.993770176584022,Not significant,Spargel,true,Not verified,Retained for published mitochondrial/metabolic function under a broader heading; no Spargel-target claim.,Cytochrome-c oxidase assembly factor,Fly scox mutations affect cytochrome-c oxidase assembly/activity and energy-dependent processes.,D. melanogaster genetic and functional characterization.,Strong mitochondrial relevance does not establish Scox as a Srl-regulated target.,scox mutant COX-assembly and activity results.,Porcelli D et al. (2010),https://pubmed.ncbi.nlm.nih.gov/20388558/,,,,,,,,,,,,,,,,,,,,
Mitochondrial/metabolic genes,mtTFB2,138.64006568494,-0.115424283332868,0.232116218276061,-0.497269360108181,0.618999115478167,0.986976325248193,Not significant,Spargel,true,Not verified,Retained for published mitochondrial/metabolic function under a broader heading; no Spargel-target claim.,Mitochondrial transcription factor B2,Knockdown and overexpression alter mitochondrial transcripts and mtDNA copy number.,D. melanogaster Schneider cells.,"The experiment establishes mitochondrial function, not regulation by Srl.",RNAi and overexpression experiments.,Matsushima Y et al. (2004),https://pubmed.ncbi.nlm.nih.gov/15060065/,,,,,,,,,,,,,,,,,,,,
Mitochondrial/metabolic genes,ATPsynbeta,344.360340227716,-0.142893805228033,0.205664027249747,-0.69479241041269,0.487185405187632,0.980950988535372,Not significant,Spargel,true,Not verified,Retained for published mitochondrial/metabolic function under a broader heading; no Spargel-target claim.,Mitochondrial ATP-synthase beta subunit,A fly muscle study uses ATPsynbeta RNAi to perturb mitochondrial energy function.,D. melanogaster adult muscle; host-pathogen metabolic study.,A specific Srl-dependent relationship was not verified. ATPsynbeta is not ATPsynF or blw/ATP-synthase alpha.,Muscle ATPsynbeta RNAi experiments and reagent table.,Zhao X et al. (2021),https://pubmed.ncbi.nlm.nih.gov/34710355/,,,,,,,,,,,,,,,,,,,,
Mitochondrial/metabolic genes,mRpL4,518.735179156682,-0.436492537859867,0.224960260519086,-1.94030953223774,0.0523420836163306,0.44550522310886,Not significant,Spargel,true,Not verified,Retained for published mitochondrial/metabolic function under a broader heading; no Spargel-target claim.,Mitochondrial ribosomal protein L4,A primary fly study characterizes mRpL4 and an additional role in Notch signaling.,D. melanogaster wing development; genetic and physical interactions.,Mitochondrial-ribosome identity does not establish Srl regulation. Its extra-mitochondrial roles argue against an exclusive pathway assignment.,mRpL4 genetic and interaction experiments.,Mo D et al. (2023),https://pubmed.ncbi.nlm.nih.gov/37009823/,,,,,,,,,,,,,,,,,,,,
Mitochondrial/metabolic genes,srl,19.3628805180271,-0.699926196739216,0.641839634706435,-1.09050011699472,0.275492901805729,0.878884474707196,Not significant,Spargel,true,Supported,Retained for published mitochondrial/metabolic function under a broader heading; no Spargel-target claim.,Spargel; PGC-1-family transcriptional coactivator,"srl mutants alter mitochondrial gene expression and respiration, including insulin-responsive functions.",D. melanogaster larval fat body.,The regulator’s own transcript is not a direct readout of its activity. Effects differ by tissue and condition.,"Mutant, respiration and insulin-response experiments.",Tiefenböck SK et al. (2010),https://pubmed.ncbi.nlm.nih.gov/19910925/,,,,,,,,,,,,,,,,,,,,
AMPK-associated genes,AMPKalpha,0,NA,NA,NA,NA,NA,No fold-change estimate,,,,,,,,Complex membership; transcript abundance does not measure kinase activity.,Abstract and subunit-depletion experiments,,,FBgn0023169,5562;5563,PRKAA1;PRKAA2,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,1,AMPK subunits,1,Catalytic alpha and regulatory beta/gamma subunits of the human AMPK complex.,https://www.kegg.jp/pathway/hsa04152,true,1,AMPK alpha subunit,Pan2002,"Pan, D. A. and Hardie, D. G. (2002). A homologue of AMP-activated protein kinase in Drosophila melanogaster is sensitive to AMP and is activated by ATP depletion. Biochem. J. 367, 179–186.",10.1042/BJ20020703,https://pmc.ncbi.nlm.nih.gov/articles/PMC1222868/,Depleting the alpha subunit by dsRNA abolished AMPK activity in Drosophila cells.
