module,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status,flybase_id,human_entrez_ids,human_symbols,diopt_confidence_levels,mapping_rule,source,display_column,component_group_order,component_group,subunit_display_order,grouping_rationale,grouping_reference,shown_in_focused_panel
Fly homologs of human AMPK-pathway genes,Ilp3,59.2122238724976,0.386131600152111,0.364717223804716,1.05871501248008,0.289729588757359,0.894873162292822,Below DE cutoffs,FBgn0044050,3630,INS,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Ilp5,19.6677925010853,-0.296838222359355,0.597904134136017,-0.496464575860964,0.619566674337413,0.986976325248193,Below DE cutoffs,FBgn0044048,3630,INS,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,InR,3.63500542761194,-0.231450490225168,1.5433090772069,-0.149970277272036,0.880788065315467,NA,Adjusted P unavailable,FBgn0283499,3480;3643,IGF1R;INSR,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Lkb1,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0038167,6794,STK11,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,true
Fly homologs of human AMPK-pathway genes,Mo25,60.2060513313448,-0.130819859286305,0.423134885305567,-0.309168219944412,0.75719356723643,0.99515271483221,Below DE cutoffs,FBgn0017572,51719;81617,CAB39;CAB39L,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Oamb,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0024944,148,ADRA1A,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Pdk1,98.7703618136414,-0.194422552116332,0.414948650749609,-0.468546052059949,0.639394146257285,0.990389056499688,Below DE cutoffs,FBgn0020386,5170,PDPK1,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Pi3K21B,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0020622,110117499;5295;5296;8503,P3R3URF-PIK3R3;PIK3R1;PIK3R2;PIK3R3,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Pi3K92E,2.36238030998604,-0.868945919712815,2.02376713727193,-0.429370505978355,0.667653614214553,NA,Adjusted P unavailable,FBgn0015279,5290;5291;5293,PIK3CA;PIK3CB;PIK3CD,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Sdr,9.39610958032734,-1.10202067275406,0.891439618377021,-1.23622581949008,0.2163746358543,0.819158524912692,Below DE cutoffs,FBgn0038279,3480;3643,IGF1R;INSR,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Stlk,36.5917773760162,0.215585970544157,0.469632380114424,0.459052611516331,0.646196385652992,0.991274484095408,Below DE cutoffs,FBgn0046692,55437;92335,STRADA;STRADB,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Tak1,379.222943038947,0.289735774267013,0.173282882568149,1.67203921110364,0.0945165902566255,0.576459939640811,Below DE cutoffs,FBgn0026323,6885,MAP3K7,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Takl1,402.234892549363,-0.879302198451567,0.210949126530686,-4.16831400495824,3.06861011217281e-05,0.00231106636326874,Down in CS,FBgn0046689,6885,MAP3K7,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Takl2,35.3955253867709,-0.311872419564728,0.459077483220368,-0.679345929530204,0.496918701134923,0.981366694783537,Below DE cutoffs,FBgn0039015,6885,MAP3K7,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG32568,0.823458633960158,3.16859337436787,3.6815731187601,0.860662893865058,0.389423735378733,NA,Adjusted P unavailable,FBgn0052568,5527;5528,PPP2R5C;PPP2R5D,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,3,PP2A-related proteins,0,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG4733,0.672003459621678,-2.89256498458979,3.97205042250345,-0.72822967407516,0.466473003824481,NA,Adjusted P unavailable,FBgn0038744,28227;5523,PPP2R3A;PPP2R3B,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,3,PP2A-related proteins,0,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,flw,545.547231468772,-0.28936763501077,0.161377810578838,-1.79310671010377,0.0729558629159053,0.520534845838268,Below DE cutoffs,FBgn0000711,5515,PPP2CA,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,3,PP2A-related proteins,0,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,mts,6.53685593632264,-1.06745834239827,1.01277551269629,-1.05399304092217,0.291886103245591,0.897907660147491,Below DE cutoffs,FBgn0004177,5515;5516,PPP2CA;PPP2CB,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,3,PP2A-related proteins,0,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Pp1-13C,7.73202841071754,6.39936994534541,2.78433158967277,2.29835051582254,0.0215418474922795,0.270397331485583,Below DE cutoffs,FBgn0003132,5515,PPP2CA,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,3,PP2A-related proteins,0,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Pp1-87B,3666.21562824565,-0.0221334921047473,0.107321659167373,-0.206235090628157,0.836607278614665,0.99686926944711,Below DE cutoffs,FBgn0004103,5515,PPP2CA,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,3,PP2A-related proteins,0,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Pp1-Y2,1.37458282857201,3.90607476526745,3.93846715174027,0.991775382344241,0.321307109013083,NA,Adjusted P unavailable,FBgn0046698,5515,PPP2CA,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,3,PP2A-related proteins,0,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Pp1alpha-96A,114.332309513398,-0.204071251648294,0.295325349067865,-0.691004860545847,0.489562486543298,0.980950988535372,Below DE cutoffs,FBgn0003134,5515,PPP2CA,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,3,PP2A-related proteins,0,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Pp2A-29B,25.3657555584739,-0.623100293767233,0.507841677885072,-1.2269577722769,0.219838462766958,0.824090285766937,Below DE cutoffs,FBgn0260439,5518;5519,PPP2R1A;PPP2R1B,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,3,PP2A-related proteins,0,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Pp4-19C,4.13498100296744,1.99451255966781,1.22975103180519,1.62188321707688,0.104828355694873,NA,Adjusted P unavailable,FBgn0023177,5515,PPP2CA,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,3,PP2A-related proteins,0,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,PpV,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0003139,5515,PPP2CA,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,3,PP2A-related proteins,0,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,tws,55.247662562037,-0.222783523572463,0.438362862905025,-0.508217147082394,0.611301066947479,0.986976325248193,Below DE cutoffs,FBgn0004889,5520;5521;5522;55844,PPP2R2A;PPP2R2B;PPP2R2C;PPP2R2D,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,3,PP2A-related proteins,0,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,wdb,6.63267140520906,0.99410568763801,1.60533657581283,0.619250631061381,0.535751261989907,0.981947296700208,Below DE cutoffs,FBgn0027492,5525;5526;5527;5528;5529,PPP2R5A;PPP2R5B;PPP2R5C;PPP2R5D;PPP2R5E,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,3,PP2A-related proteins,0,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,wrd,15.2196658400881,0.451613032767028,0.730047245375148,0.61860795397558,0.536174660695231,0.981947296700208,Below DE cutoffs,FBgn0042693,5525;5526;5527;5528;5529,PPP2R5A;PPP2R5B;PPP2R5C;PPP2R5D;PPP2R5E,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,3,PP2A-related proteins,0,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,fbp,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0032820,2203;8789,FBP1;FBP2,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,1,Glucose metabolism,0,"Human enzymes involved in glycolysis, gluconeogenesis or glycogen synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,G6P,32.6377176763175,0.434435428997791,0.430793378688559,1.00845428571887,0.313236423220578,0.910120673662429,Below DE cutoffs,FBgn0031463,2538;57818;92579,G6PC1;G6PC2;G6PC3,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,1,Glucose metabolism,0,"Human enzymes involved in glycolysis, gluconeogenesis or glycogen synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Glys,22.1100286022758,-0.498525067451368,0.528235176100356,-0.94375590647272,0.345294397724401,0.928790266462657,Below DE cutoffs,FBgn0266064,2997;2998,GYS1;GYS2,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,1,Glucose metabolism,0,"Human enzymes involved in glycolysis, gluconeogenesis or glycogen synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Pepck1,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0003067,5105;5106,PCK1;PCK2,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,1,Glucose metabolism,0,"Human enzymes involved in glycolysis, gluconeogenesis or glycogen synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Pepck2,67.1340961431048,0.55098919290573,0.308209903037469,1.78770762222636,0.0738231913506922,0.524214966391201,Below DE cutoffs,FBgn0034356,5105;5106,PCK1;PCK2,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,1,Glucose metabolism,0,"Human enzymes involved in glycolysis, gluconeogenesis or glycogen synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Pfk,926.12689697452,-0.0116114856682061,0.154836936474819,-0.0749917037404987,0.940221312762565,0.997029291296654,Below DE cutoffs,FBgn0003071,5211;5213;5214,PFKL;PFKM;PFKP,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,1,Glucose metabolism,0,"Human enzymes involved in glycolysis, gluconeogenesis or glycogen synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Pfrx,7.72799662295864,0.282152460637808,0.829393007092274,0.340191511412656,0.733712310296601,0.99417184827796,Below DE cutoffs,FBgn0027621,5207;5208;5209;5210,PFKFB1;PFKFB2;PFKFB3;PFKFB4,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,1,Glucose metabolism,0,"Human enzymes involved in glycolysis, gluconeogenesis or glycogen synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG7882,5.24868804713351,0.699062376013092,1.09350281022588,0.63928722402523,0.522636098201393,0.981947296700208,Below DE cutoffs,FBgn0033047,6517,SLC2A4,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,2,GLUT / TBC1D1 / Rab-related,0,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Glut1,3.53412603859109,-1.66852416147512,1.48960611369387,-1.1201109784234,0.262666472868579,NA,Adjusted P unavailable,FBgn0264574,6517,SLC2A4,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,2,GLUT / TBC1D1 / Rab-related,0,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,plx,3.2973088277198,0.575038623471143,1.22305112098504,0.470167283774703,0.638235506262275,NA,Adjusted P unavailable,FBgn0261261,23216,TBC1D1,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,2,GLUT / TBC1D1 / Rab-related,0,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Rab10,1872.89447599279,-0.171843986778085,0.112889901161473,-1.52222639058109,0.127952364706864,0.65715737568804,Below DE cutoffs,FBgn0015789,10890;4218,RAB10;RAB8A,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,2,GLUT / TBC1D1 / Rab-related,0,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Rab11,16.617963009026,0.356046415675959,0.665936076248902,0.534655544840737,0.592888067178298,0.986976325248193,Below DE cutoffs,FBgn0015790,9230,RAB11B,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,2,GLUT / TBC1D1 / Rab-related,0,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Rab14,352.141238621546,-0.246885464185284,0.1737931503377,-1.42057074001799,0.155441589827197,0.711496195327964,Below DE cutoffs,FBgn0015791,51552,RAB14,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,2,GLUT / TBC1D1 / Rab-related,0,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,false
