gene,in_previous_AMPK,in_documented_AMPK,change,reason
Rbp9,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
rdog,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Rheb,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
S6k,True,True,retained,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
santa-maria,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Sdr,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Sesn,True,False,removed,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Sirt1,True,True,retained,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
SNF4Agamma,True,True,retained,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Snmp1,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Snmp2,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
SREBP,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
srl,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
ssx,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Stlk,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
sut1,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
sut2,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
sut3,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Sxl,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Tak1,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Takl1,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Takl2,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Thor,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Tsc1,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
tws,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
wdb,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
whd,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
wrd,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
