"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","sex","direction","highlighted_genes","highlight_reason"
"MF","GO:0008137","NADH dehydrogenase (ubiquinone) activity","3/75","12/5814",0.25,19.38,7.28550983232614,0.000417270716012208,0.0144166107948239,0.0132380972584049,"ND2/ND4L/ND6",3,"female","up","",""
"MF","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","3/75","12/5814",0.25,19.38,7.28550983232614,0.000417270716012208,0.0144166107948239,0.0132380972584049,"ND2/ND4L/ND6",3,"female","up","",""
"MF","GO:0050136","NADH dehydrogenase (quinone) activity","3/75","12/5814",0.25,19.38,7.28550983232614,0.000417270716012208,0.0144166107948239,0.0132380972584049,"ND2/ND4L/ND6",3,"female","up","",""
"MF","GO:0004303","estradiol 17-beta-dehydrogenase [NAD(P)] activity","3/75","13/5814",0.230769230769231,17.8892307692308,6.96855599355177,0.000537433526181963,0.0144166107948239,0.0132380972584049,"CG9360/CG10962/CG40485",3,"female","up","",""
"MF","GO:0016491","oxidoreductase activity","13/75","356/5814",0.0365168539325843,2.83078651685393,4.0752909442531,0.000538462932372166,0.0144166107948239,0.0132380972584049,"CG9360/CG10962/CG12224/CG14893/Cyp28a5/ND2/ND4L/ND6/Cyp6a8/CG32026/CG40485/CG9521/GstO1",13,"female","up","",""
"MF","GO:0033764","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","3/75","14/5814",0.214285714285714,16.6114285714286,6.68506059524235,0.000677681533782732,0.0144166107948239,0.0132380972584049,"CG9360/CG10962/CG40485",3,"female","up","",""
"BP","GO:0044419","biological process involved in interspecies interaction between organisms","30/88","333/5982",0.0900900900900901,6.12407862407862,11.7564252231258,1.02734314587362e-16,6.9859333919406e-14,6.65069510223447e-14,"TotZ/LysP/LysX/AttD/sau/TotA/LysD/CG12780/LysE/Nazo/DptA/CG14499/TotX/Sting/Drs/Spn88Eb/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/IBIN/BomS1/BomBc1/CRIF/Tep2/AttC",30,"female","down","",""
"BP","GO:0009607","response to biotic stimulus","28/88","302/5982",0.0927152317880795,6.30252859723058,11.5540833067827,6.77752103090247e-16,1.15217857525342e-13,1.09688827210658e-13,"TotZ/LysP/LysX/AttD/TotA/LysD/CG12780/LysE/Nazo/DptA/TotX/Sting/Drs/Spn88Eb/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/IBIN/BomS1/BomBc1/CRIF/Tep2/AttC",28,"female","down","",""
"BP","GO:0043207","response to external biotic stimulus","28/88","302/5982",0.0927152317880795,6.30252859723058,11.5540833067827,6.77752103090247e-16,1.15217857525342e-13,1.09688827210658e-13,"TotZ/LysP/LysX/AttD/TotA/LysD/CG12780/LysE/Nazo/DptA/TotX/Sting/Drs/Spn88Eb/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/IBIN/BomS1/BomBc1/CRIF/Tep2/AttC",28,"female","down","",""
"BP","GO:0051707","response to other organism","28/88","302/5982",0.0927152317880795,6.30252859723058,11.5540833067827,6.77752103090247e-16,1.15217857525342e-13,1.09688827210658e-13,"TotZ/LysP/LysX/AttD/TotA/LysD/CG12780/LysE/Nazo/DptA/TotX/Sting/Drs/Spn88Eb/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/IBIN/BomS1/BomBc1/CRIF/Tep2/AttC",28,"female","down","",""
"BP","GO:0009617","response to bacterium","21/88","176/5982",0.119318181818182,8.11092458677686,11.699493555759,3.81761370248529e-14,5.19195463537999e-12,4.94280510953358e-12,"TotZ/LysP/LysX/AttD/TotA/LysD/LysE/DptA/TotX/Sting/Drs/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/BomS1/BomBc1/Tep2/AttC",21,"female","down","",""
"BP","GO:0098542","defense response to other organism","22/88","274/5982",0.0802919708029197,5.45802919708029,9.22995065473542,2.99213209615853e-11,3.391083042313e-09,3.22835305111842e-09,"LysP/LysX/AttD/LysD/CG12780/LysE/Nazo/DptA/Sting/Drs/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/Mtk/BomS1/BomBc1/CRIF/Tep2/AttC",22,"female","down","",""
"BP","GO:0006952","defense response","22/88","281/5982",0.0782918149466192,5.3220640569395,9.06759282626079,4.93261019886758e-11,4.79167847889993e-09,4.5617372515843e-09,"LysP/LysX/AttD/LysD/CG12780/LysE/Nazo/DptA/Sting/Drs/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/Mtk/BomS1/BomBc1/CRIF/Tep2/AttC",22,"female","down","",""
"BP","GO:0042742","defense response to bacterium","16/88","157/5982",0.101910828025478,6.92762015055009,9.19613628059772,6.6919319359195e-10,5.68814214553157e-08,5.41518176393486e-08,"LysP/LysX/AttD/LysD/LysE/DptA/Sting/Drs/edin/PPO1/Uev1A/PGRP-SC2/Mtk/BomBc1/Tep2/AttC",16,"female","down","",""
"CC","GO:0005615","extracellular space","17/80","347/5833",0.0489913544668588,3.57208213256484,5.82543327806117,3.19049410729326e-06,0.000417954728055417,0.000396292952274321,"TotZ/LysP/LysX/TotA/LysD/LysE/TotX/Drs/Spn88Eb/Tep1/edin/TotC/IBIN/Tep2/AttC/CG10031/Ance-2",17,"female","down","",""
"CC","GO:0000314","organellar small ribosomal subunit","4/80","23/5833",0.173913043478261,12.6804347826087,6.61822343100805,0.000238279437901432,0.0104048687883625,0.00986560479732245,"mRpS33/mRpS18C/mRpS18A/mRpS17",4,"female","down","",""
"CC","GO:0005763","mitochondrial small ribosomal subunit","4/80","23/5833",0.173913043478261,12.6804347826087,6.61822343100805,0.000238279437901432,0.0104048687883625,0.00986560479732245,"mRpS33/mRpS18C/mRpS18A/mRpS17",4,"female","down","",""
"CC","GO:0000313","organellar ribosome","5/80","63/5833",0.0793650793650794,5.78670634920635,4.50428350644013,0.00161470994162747,0.0423054004706398,0.0401127943393773,"mRpS33/mRpL51/mRpS18C/mRpS18A/mRpS17",5,"female","down","",""
"CC","GO:0005761","mitochondrial ribosome","5/80","63/5833",0.0793650793650794,5.78670634920635,4.50428350644013,0.00161470994162747,0.0423054004706398,0.0401127943393773,"mRpS33/mRpL51/mRpS18C/mRpS18A/mRpS17",5,"female","down","",""
"MF","GO:0061783","peptidoglycan muralytic activity","5/77","16/5814",0.3125,23.5957792207792,10.4845865132599,1.39319950131001e-06,0.000197834329186021,0.000180382672274875,"LysP/LysX/LysD/LysE/PGRP-SC2",5,"female","down","",""
"MF","GO:0003796","lysozyme activity","4/77","13/5814",0.307692307692308,23.2327672327672,9.29644413165254,1.85784416397509e-05,0.00131906935642232,0.0012027096429944,"LysP/LysX/LysD/LysE",4,"female","down","",""
"MF","GO:0004866","endopeptidase inhibitor activity","5/77","34/5814",0.147058823529412,11.1038961038961,6.84490634417291,7.36656632232622e-05,0.00301962170043499,0.00275325032730544,"Spn88Eb/Tep1/Tep2/CG16713/CG10031",5,"female","down","",""
"MF","GO:0061135","endopeptidase regulator activity","5/77","35/5814",0.142857142857143,10.7866419294991,6.72735696732729,8.50597662094364e-05,0.00301962170043499,0.00275325032730544,"Spn88Eb/Tep1/Tep2/CG16713/CG10031",5,"female","down","",""
"MF","GO:0030414","peptidase inhibitor activity","5/77","37/5814",0.135135135135135,10.2035802035802,6.50593288298467,0.00011187774586707,0.0031773279826248,0.00289704478771572,"Spn88Eb/Tep1/Tep2/CG16713/CG10031",5,"female","down","",""
"MF","GO:0061134","peptidase regulator activity","5/77","47/5814",0.106382978723404,8.03260569218016,5.60781038082963,0.000355100700243959,0.0084040499057737,0.00766269932105386,"Spn88Eb/Tep1/Tep2/CG16713/CG10031",5,"female","down","",""
"MF","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","5/77","51/5814",0.0980392156862745,7.4025974025974,5.32010337900963,0.00052183637363867,0.0105858235795273,0.00965201112143706,"LysP/LysX/LysD/LysE/tobi",5,"female","down","",""
"MF","GO:0004857","enzyme inhibitor activity","5/77","59/5814",0.0847457627118644,6.39885538190623,4.82845441055707,0.00102423504731444,0.0174488728942818,0.0159096468939708,"Spn88Eb/Tep1/Tep2/CG16713/CG10031",5,"female","down","",""
"CC","GO:0030286","dynein complex","8/327","37/7088",0.216216216216216,4.68666831969584,4.94434989145897,0.000224639948535831,0.0453772696042378,0.0437456741885565,"CG10834/kl-5/CG31275/CG13202/Sdic4/CG10822/robl37BC/CG10859",8,"male","up","",""
"MF","GO:0005214","structural constituent of chitin-based cuticle","14/329","98/7037",0.142857142857143,3.05557967867998,4.53798699692857,0.00016631435278635,0.0290583497405604,0.0290583497405604,"Cpr47Ec/dyl/Cpr47Eb/Pcp/TwdlD/TwdlM/m/Cpr72Ea/TwdlP/TwdlG/TwdlE/Cpr49Ah/TwdlO/CG13022",14,"male","up","",""
"MF","GO:0042302","structural constituent of cuticle","14/329","99/7037",0.141414141414141,3.0247152374812,4.49292054315815,0.000185676356169715,0.0290583497405604,0.0290583497405604,"Cpr47Ec/dyl/Cpr47Eb/Pcp/TwdlD/TwdlM/m/Cpr72Ea/TwdlP/TwdlG/TwdlE/Cpr49Ah/TwdlO/CG13022",14,"male","up","",""
"BP","GO:0044703","multi-organism reproductive process","12/381","19/7230",0.631578947368421,11.9850808122669,11.3075971050487,1.39590235553915e-11,1.22612968429442e-08,1.20206106047711e-08,"lectin-46Ca/Acp29AB/lectin-46Cb/Sems/aqrs/Acp62F/CG9997/SP/Acp53Ea/intr/Acp26Aa/EbpIII",12,"male","down","",""
"BP","GO:0007320","insemination","11/381","16/7230",0.6875,13.0462598425197,11.3765915564104,2.60324773735545e-11,1.22612968429442e-08,1.20206106047711e-08,"lectin-46Ca/Acp29AB/lectin-46Cb/Sems/aqrs/Acp62F/CG9997/Acp53Ea/intr/Acp26Aa/EbpIII",11,"male","down","",""
"BP","GO:0044706","multi-multicellular organism process","11/381","16/7230",0.6875,13.0462598425197,11.3765915564104,2.60324773735545e-11,1.22612968429442e-08,1.20206106047711e-08,"lectin-46Ca/Acp29AB/lectin-46Cb/Sems/aqrs/Acp62F/CG9997/Acp53Ea/intr/Acp26Aa/EbpIII",11,"male","down","",""
"BP","GO:0006633","fatty acid biosynthetic process","19/381","58/7230",0.327586206896552,6.21639967417866,9.40703440828275,4.73075105818457e-11,1.6711378113037e-08,1.63833378751866e-08,"CG30008/CG15531/CG9458/CG18609/CG8630/CG8534/Baldspot/Acsf2/Hacd1/CG6432/Acsx3/Acsx1R/FASN2/Sc2/Fatp1/CG9993/Acsx4/eloF/CG5568",19,"male","down","",""
"BP","GO:0019752","carboxylic acid metabolic process","41/381","256/7230",0.16015625,3.03918553149606,7.83472521684899,8.94608661939287e-11,2.10680339886702e-08,2.06544736686334e-08,"CG30008/CG15531/CG9458/CG18609/PH4alphaNE2/CG8630/ry/CG8534/PH4alphaSG1/CG32199/CG18233/CG10184/CG32201/CG15864/Baldspot/CG18234/Irp-1B/Acsf2/Hacd1/Had2/CG31021/Agxt/aay/Hex-C/CG11828/CG6432/Acsx3/Gip/Acsx1R/FASN2/Sc2/Fatp1/CG9993/PH4alphaNE3/hgo/e/Acsx4/CG18231/yellow-f2/eloF/CG5568",41,"male","down","",""
"BP","GO:0043436","oxoacid metabolic process","41/381","256/7230",0.16015625,3.03918553149606,7.83472521684899,8.94608661939287e-11,2.10680339886702e-08,2.06544736686334e-08,"CG30008/CG15531/CG9458/CG18609/PH4alphaNE2/CG8630/ry/CG8534/PH4alphaSG1/CG32199/CG18233/CG10184/CG32201/CG15864/Baldspot/CG18234/Irp-1B/Acsf2/Hacd1/Had2/CG31021/Agxt/aay/Hex-C/CG11828/CG6432/Acsx3/Gip/Acsx1R/FASN2/Sc2/Fatp1/CG9993/PH4alphaNE3/hgo/e/Acsx4/CG18231/yellow-f2/eloF/CG5568",41,"male","down","",""
"BP","GO:0006082","organic acid metabolic process","41/381","258/7230",0.158914728682171,3.01562595373253,7.77551426881494,1.14895541099353e-10,2.26241908967558e-08,2.21800835997547e-08,"CG30008/CG15531/CG9458/CG18609/PH4alphaNE2/CG8630/ry/CG8534/PH4alphaSG1/CG32199/CG18233/CG10184/CG32201/CG15864/Baldspot/CG18234/Irp-1B/Acsf2/Hacd1/Had2/CG31021/Agxt/aay/Hex-C/CG11828/CG6432/Acsx3/Gip/Acsx1R/FASN2/Sc2/Fatp1/CG9993/PH4alphaNE3/hgo/e/Acsx4/CG18231/yellow-f2/eloF/CG5568",41,"male","down","",""
"BP","GO:0072330","monocarboxylic acid biosynthetic process","19/381","61/7230",0.311475409836066,5.91067510003872,9.08374315037513,1.2809166820527e-10,2.26241908967558e-08,2.21800835997547e-08,"CG30008/CG15531/CG9458/CG18609/CG8630/CG8534/Baldspot/Acsf2/Hacd1/CG6432/Acsx3/Acsx1R/FASN2/Sc2/Fatp1/CG9993/Acsx4/eloF/CG5568",19,"male","down","",""
"CC","GO:0005615","extracellular space","95/365","439/7088",0.216400911161731,4.20232783099822,16.1404625465473,2.1589984692533e-36,4.57707675481701e-34,4.57707675481701e-34,"LysD/CG18628/lectin-46Ca/Ance-2/Mst57Dc/BG642167/PH4alphaNE2/CG31419/CG42564/CG34002/LysP/Acp29AB/CG6071/lectin-46Cb/CG31515/CG31680/Sfp65A/Qsox3/Sems/CG4017/CtsK1/CG31883/CG34129/CG17472/Sfp33A3/CG13965/CG15635/Qsox4/CG31418/Qsox2/Mst57Db/CG31496/Spn43Ab/Sfp33A2/lectin-30A/CG8738/CG9168/aqrs/LysE/Jhbp4/Sod3/Drs/Sfp84E/Acp62F/CG11037/Mst57Da/Spn28F/Spn28Da/CG8492/lectin-29Ca/CG6472/Amy-d/Sfp93F/CG11608/CG5402/CG11112/CG9997/CG31198/CG11977/Sfp51E/CG3640/CG17404/CG18417/SP/Sfp24C1/Acp53Ea/CG34130/Gpxl/Spn28Db/CG10031/CG34034/Acp26Aa/msopa/CG11113/CG34033/Acp33A/CG2111/nec/CG30062/CG9525/CG31207/CG33127/Spn47C/CG5267/CG9822/Loxl2/Obp56f/CG17097/CG34448/CG8072/fj/Def/Mip/CG10730/Fst",95,"male","down","",""
"MF","GO:0016491","oxidoreductase activity","77/403","414/7037",0.185990338164251,3.24767744332962,11.6180832772092,1.39449069651883e-21,5.06200122836334e-19,4.35961828280096e-19,"Cyp4g1/CG15531/FarO/AOX1/PH4alphaNE2/CG8630/ry/CG17560/PH4alphaSG1/Cyp304a1/CG32199/CG18233/Cyp4d20/Qsox3/Cat/CG6142/CG32201/CG15864/Cyp6a20/Qsox4/Qsox2/CG18234/Cyp4p3/Cyp6a9/CG7966/Cyp4s3/su(r)/Sod3/Ldsdh1/CG12171/Cyp12a4/Had2/CG31021/Cyp6a21/Sod1/Cyp301a1/CG10863/CG11828/Cyp6a2/Cyp309a2/GstE7/ND4L/FASN2/Sc2/Gpxl/Cyp318a1/PPO1/CG9519/Cyp9f2/PH4alphaNE3/CG13833/CG11162/Dhrs4/Rdh1/ND2/hgo/Cyp6d2/Cyp6d5/Cyp9h1/CG3397/Cyp28d1/CG18231/Loxl2/CG12539/CG9522/CG9436/RnrS/Cyp4c3/CG7430/ND6/Clic/CG42331/Cyp313a4/GILT3/Cyp309a1/RnrL/CG18814",77,"male","down","ND2/ND4L/ND6","The same three NADH-dehydrogenase genes highlighted in females, all confirmed members of this male downregulated term; matched comparison of the manuscript oxidative-metabolism theme."
"MF","GO:0005506","iron ion binding","36/403","118/7037",0.305084745762712,5.32724902216428,11.6831225348638,1.49787026570638e-17,2.71863453225709e-15,2.34140773113051e-15,"Cyp4g1/CG15531/AOX1/PH4alphaNE2/CG8630/ry/PH4alphaSG1/Cyp304a1/CG32199/CG18233/Cyp4d20/CG32201/CG15864/Cyp6a20/CG18234/Cyp4p3/Cyp6a9/Cyp4s3/Cyp12a4/Cyp6a21/Cyp301a1/CG11828/Cyp6a2/Cyp309a2/Cyp318a1/Cyp9f2/PH4alphaNE3/CG11162/Cyp6d2/Cyp6d5/Cyp9h1/Cyp28d1/CG18231/Cyp4c3/Cyp313a4/Cyp309a1",36,"male","down","",""
"MF","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","36/403","120/7037",0.3,5.23846153846154,11.5416443231439,2.76063018942584e-17,3.34036252920527e-15,2.87686725003324e-15,"Cyp4g1/CG15531/PH4alphaNE2/CG8630/PH4alphaSG1/Cyp304a1/CG32199/CG18233/Cyp4d20/CG32201/CG15864/Cyp6a20/CG18234/Cyp4p3/Cyp6a9/Cyp4s3/Cyp12a4/CG31021/Cyp6a21/Cyp301a1/CG11828/Cyp6a2/Cyp309a2/Cyp318a1/PPO1/Cyp9f2/PH4alphaNE3/CG11162/Cyp6d2/Cyp6d5/Cyp9h1/Cyp28d1/CG18231/Cyp4c3/Cyp313a4/Cyp309a1",36,"male","down","",""
"MF","GO:0048029","monosaccharide binding","18/403","37/7037",0.486486486486487,8.49480249480249,11.2652216092991,1.95751816216768e-13,1.77644773216717e-11,1.52995498464158e-11,"lectin-46Ca/PH4alphaNE2/Acp29AB/lectin-46Cb/PH4alphaSG1/CG32199/CG18233/CG32201/CG15864/CG18234/lectin-30A/lectin-29Ca/Hex-C/CG11828/lectin-21Ca/PH4alphaNE3/CG18231/lectin-24Db",18,"male","down","",""
"MF","GO:0004497","monooxygenase activity","23/403","85/7037",0.270588235294118,4.72488687782805,8.51521021928469,1.87167522547322e-10,1.35883621369356e-08,1.17028956203273e-08,"Cyp4g1/Cyp304a1/Cyp4d20/Cyp6a20/Cyp4p3/Cyp6a9/Cyp4s3/Cyp12a4/Cyp6a21/Cyp301a1/Cyp6a2/Cyp309a2/Cyp318a1/PPO1/Cyp9f2/CG11162/Cyp6d2/Cyp6d5/Cyp9h1/Cyp28d1/Cyp4c3/Cyp313a4/Cyp309a1",23,"male","down","",""
"MF","GO:0004656","procollagen-proline 4-dioxygenase activity","11/403","18/7037",0.611111111111111,10.6709401709402,10.1250000203986,4.20705615996857e-10,2.18165912295513e-08,1.87894087144461e-08,"PH4alphaNE2/PH4alphaSG1/CG32199/CG18233/CG32201/CG15864/CG18234/CG31021/CG11828/PH4alphaNE3/CG18231",11,"male","down","",""
"MF","GO:0019798","procollagen-proline dioxygenase activity","11/403","18/7037",0.611111111111111,10.6709401709402,10.1250000203986,4.20705615996857e-10,2.18165912295513e-08,1.87894087144461e-08,"PH4alphaNE2/PH4alphaSG1/CG32199/CG18233/CG32201/CG15864/CG18234/CG31021/CG11828/PH4alphaNE3/CG18231",11,"male","down","",""
"MF","GO:0031545","peptidyl-proline 4-dioxygenase activity","11/403","19/7037",0.578947368421053,10.1093117408907,9.79903679116923,9.48165804158096e-10,4.30230233636736e-08,3.70533215572309e-08,"PH4alphaNE2/PH4alphaSG1/CG32199/CG18233/CG32201/CG15864/CG18234/CG31021/CG11828/PH4alphaNE3/CG18231",11,"male","down","",""
