"pathway","human","fly","diopt","rank","best","detected_symbol","pass_rank","detected","is_cg","in_set"
"HSR","HSPB1","Hsp22",4,"moderate","No",NA,TRUE,FALSE,FALSE,FALSE
"HSR","HSPB1","Hsp67Ba",4,"moderate","No","Hsp67Ba",TRUE,TRUE,FALSE,TRUE
"HSR","HSPB1","CG7409",4,"moderate","No","CG7409",TRUE,TRUE,TRUE,FALSE
"HSR","HSPH1","Hsp110",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"HSR","SERPINH1","Spn77Bb",3,"high","Yes","Spn77Bb",TRUE,TRUE,FALSE,TRUE
"HSR","SERPINH1","Spn77Bc",3,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"HSR","SERPINH1","Spn77Ba",3,"moderate","Yes",NA,TRUE,FALSE,FALSE,FALSE
"HSR","SERPINH1","Spn55B",2,"low","No","Spn55B",FALSE,TRUE,FALSE,FALSE
"HSR","SERPINH1","Spn88Ea",2,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"HSR","SERPINH1","Spn47C",2,"low","No","Spn47C",FALSE,TRUE,FALSE,FALSE
"HSR","SERPINH1","Spn75F",2,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"HSR","SERPINH1","Spn42Da",2,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"HSR","SERPINH1","Spn85F",2,"low","No","Spn85F",FALSE,TRUE,FALSE,FALSE
"HSR","SERPINH1","Spn42Dc",2,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"HSR","SERPINH1","Spn27A",2,"low","No","Spn27A",FALSE,TRUE,FALSE,FALSE
"HSR","SERPINH1","Spn28Dc",2,"low","No","Spn28Dc",FALSE,TRUE,FALSE,FALSE
"HSR","SERPINH1","nec",2,"low","No","nec",FALSE,TRUE,FALSE,FALSE
"HSR","SERPINH1","CG43366",2,"low","No","CG43366",FALSE,TRUE,TRUE,FALSE
"HSR","SERPINH1","Spn42Db",2,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"HSR","SERPINH1","Spn31A",2,"low","No","Spn31A",FALSE,TRUE,FALSE,FALSE
"HSR","SERPINH1","Spn88Eb",2,"low","No","Spn88Eb",FALSE,TRUE,FALSE,FALSE
"HSR","HSPD1","Hsp60A",13,"high","Yes","Hsp60A",TRUE,TRUE,FALSE,TRUE
"HSR","HSPD1","Hsp60C",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"HSR","HSPD1","Hsp60B",7,"moderate","No","Hsp60B",TRUE,TRUE,FALSE,TRUE
"HSR","HSPD1","Hsp60D",6,"moderate","No",NA,TRUE,FALSE,FALSE,FALSE
"ISR","ATF3","Atf3",8,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"ISR","ATF3","kay",3,"low","No","kay",FALSE,TRUE,FALSE,FALSE
"ISR","ATF4","crc",7,"high","Yes","crc",TRUE,TRUE,FALSE,TRUE
"ISR","ATF6","Atf6",12,"high","Yes","Atf6",TRUE,TRUE,FALSE,TRUE
"ISR","CARS1","CysRS",13,"high","Yes","CysRS",TRUE,TRUE,FALSE,TRUE
"ISR","CARS1","CysRS-m",4,"moderate","No",NA,TRUE,FALSE,FALSE,FALSE
"ISR","CEBPB","slbo",6,"moderate","Yes",NA,TRUE,FALSE,FALSE,FALSE
"ISR","CEBPB","Pdp1",2,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"ISR","CEBPB","Irbp18",2,"low","No","Irbp18",FALSE,TRUE,FALSE,FALSE
"ISR","DDIT3","gt",1,"low","Yes","gt",FALSE,TRUE,FALSE,FALSE
"ISR","DDIT3","Pdp1",1,"low","Yes",NA,FALSE,FALSE,FALSE,FALSE
"ISR","DDIT3","slbo",1,"low","Yes",NA,FALSE,FALSE,FALSE,FALSE
"ISR","DDIT3","Xrp1",1,"low","Yes","Xrp1",FALSE,TRUE,FALSE,FALSE
"ISR","DDIT3","Irbp18",1,"low","Yes","Irbp18",FALSE,TRUE,FALSE,FALSE
"ISR","DDIT3","vri",1,"low","Yes",NA,FALSE,FALSE,FALSE,FALSE
"ISR","DDIT3","CG7786",1,"low","Yes",NA,FALSE,FALSE,FALSE,FALSE
"ISR","DDIT4","scyl",10,"high","Yes","scyl",TRUE,TRUE,FALSE,TRUE
"ISR","DDIT4","chrb",10,"high","Yes","chrb",TRUE,TRUE,FALSE,TRUE
"ISR","GADD45A","Gadd45",11,"moderate","Yes","Gadd45",TRUE,TRUE,FALSE,TRUE
"ISR","PPP1R15A","PPP1R15",7,"high","Yes","PPP1R15",TRUE,TRUE,FALSE,TRUE
"ISR","SARS1","SerRS",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"ISR","SARS1","SerRS-m",3,"low","No","SerRS-m",FALSE,TRUE,FALSE,FALSE
"ISR","SARS1","Slimp",2,"low","No","Slimp",FALSE,TRUE,FALSE,FALSE
"ISR","TRIB3","trbl",11,"high","Yes","trbl",TRUE,TRUE,FALSE,TRUE
"ISR","WARS1","TrpRS",13,"high","Yes","TrpRS",TRUE,TRUE,FALSE,TRUE
"ISR","YARS1","TyrRS",13,"high","Yes","TyrRS",TRUE,TRUE,FALSE,TRUE
"ISR","YARS1","AIMP1",4,"moderate","No","AIMP1",TRUE,TRUE,FALSE,TRUE
"OSR","GCLM","Gclm",13,"high","Yes","Gclm",TRUE,TRUE,FALSE,TRUE
"OSR","PRDX1","Prx2",10,"moderate","Yes","Prx2",TRUE,TRUE,FALSE,TRUE
"OSR","PRDX1","Prx1",7,"moderate","No","Prx1",TRUE,TRUE,FALSE,TRUE
"OSR","PRDX1","Prx3",6,"moderate","No","Prx3",TRUE,TRUE,FALSE,TRUE
"OSR","PRDX1","Prx4",5,"moderate","No",NA,TRUE,FALSE,FALSE,FALSE
"OSR","PRDX1","Prx6b",2,"low","No","Prx6b",FALSE,TRUE,FALSE,FALSE
"OSR","PRDX1","Prx6c",2,"low","No","Prx6c",FALSE,TRUE,FALSE,FALSE
"OSR","PRDX1","CG12896",2,"low","No","CG12896",FALSE,TRUE,TRUE,FALSE
"OSR","SOD1","Sod1",12,"high","Yes","Sod1",TRUE,TRUE,FALSE,TRUE
"OSR","SOD1","Sod3",7,"moderate","No","Sod3",TRUE,TRUE,FALSE,TRUE
"OSR","SOD1","Sodq",4,"moderate","No",NA,TRUE,FALSE,FALSE,FALSE
"OSR","SOD1","Ccs",2,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"OSR","SQSTM1","ref(2)P",9,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"OSR","TXNRD1","Trxr1",7,"moderate","Yes","Trxr1",TRUE,TRUE,FALSE,TRUE
"OSR","TXNRD1","Trxr2",7,"moderate","Yes","Trxr2",TRUE,TRUE,FALSE,TRUE
"OSR","GCLC","Gclc",13,"high","Yes","Gclc",TRUE,TRUE,FALSE,TRUE
"OSR","ME1","Men",13,"high","Yes","Men",TRUE,TRUE,FALSE,TRUE
"OSR","ME1","Men-b",11,"moderate","No","Men-b",TRUE,TRUE,FALSE,TRUE
"OSR","ME1","Menl-2",9,"moderate","No",NA,TRUE,FALSE,FALSE,FALSE
"OSR","ME1","Menl-1",9,"moderate","No",NA,TRUE,FALSE,FALSE,FALSE
"OSR","ME1","CG7848",8,"moderate","No","CG7848",TRUE,TRUE,TRUE,FALSE
"OSR","TXN","Trx2",12,"high","Yes","Trx2",TRUE,TRUE,FALSE,TRUE
"OSR","TXN","TrxT",12,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"OSR","TXN","dhd",9,"moderate","No",NA,TRUE,FALSE,FALSE,FALSE
"OSR","TXN","CG13473",7,"moderate","No","CG13473",TRUE,TRUE,TRUE,FALSE
"OSR","TXN","CG3719",2,"low","No","CG3719",FALSE,TRUE,TRUE,FALSE
"OSR","TXN","CG14221",2,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"OSR","BTG2","Tob",4,"moderate","Yes","Tob",TRUE,TRUE,FALSE,TRUE
"OSR","SOD2","Sod2",11,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"OSR","GSR","Trxr2",4,"moderate","Yes","Trxr2",TRUE,TRUE,FALSE,TRUE
"OSR","GSR","Trxr1",4,"moderate","Yes","Trxr1",TRUE,TRUE,FALSE,TRUE
"UPR (ATF6)","CALR","Calr",12,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"UPR (ATF6)","CALR","Cnx99A",3,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"UPR (ATF6)","CALR","CG1924",3,"low","No","CG1924",FALSE,TRUE,TRUE,FALSE
"UPR (ATF6)","CALR","Cnx14D",3,"low","No","Cnx14D",FALSE,TRUE,FALSE,FALSE
"UPR (ATF6)","CRELD2","Creld",12,"high","Yes","Creld",TRUE,TRUE,FALSE,TRUE
"UPR (ATF6)","DNAJB11","shv",13,"high","Yes","shv",TRUE,TRUE,FALSE,TRUE
"UPR (ATF6)","DNAJB11","DnaJ-H",2,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"UPR (ATF6)","DNAJB11","Droj2",2,"low","No","Droj2",FALSE,TRUE,FALSE,FALSE
"UPR (ATF6)","HERPUD1","Herp",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"UPR (ATF6)","HSPA5","Hsc70-3",13,"high","Yes","Hsc70-3",TRUE,TRUE,FALSE,TRUE
"UPR (ATF6)","HSPA5","Hsc70-2",3,"low","No","Hsc70-2",FALSE,TRUE,FALSE,FALSE
"UPR (ATF6)","HSPA5","Hsc70-1",3,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"UPR (ATF6)","HSPA5","Hsc70-4",3,"low","No","Hsc70-4",FALSE,TRUE,FALSE,FALSE
"UPR (ATF6)","HSPA5","Hsp68",3,"low","No","Hsp68",FALSE,TRUE,FALSE,FALSE
"UPR (ATF6)","HSPA5","Hsc70-5",2,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"UPR (ATF6)","HSPA5","Hsp70Bbb",2,"low","No","Hsp70Bbb",FALSE,TRUE,FALSE,FALSE
"UPR (ATF6)","HSPA5","Hsp70Bc",2,"low","No","Hsp70Bc",FALSE,TRUE,FALSE,FALSE
"UPR (ATF6)","HSPA5","Hsp70Aa",2,"low","No","Hsp70Aa",FALSE,TRUE,FALSE,FALSE
"UPR (ATF6)","HYOU1","Grp170",13,"high","Yes","Grp170",TRUE,TRUE,FALSE,TRUE
"UPR (ATF6)","MANF","Manf",12,"high","Yes","Manf",TRUE,TRUE,FALSE,TRUE
"UPR (ATF6)","MIS12","Mis12",2,"high","Yes","Mis12",TRUE,TRUE,FALSE,TRUE
"UPR (ATF6)","PDIA4","ERp60",5,"moderate","Yes","ERp60",TRUE,TRUE,FALSE,TRUE
"UPR (ATF6)","PDIA4","Pdi",4,"moderate","No",NA,TRUE,FALSE,FALSE,FALSE
"UPR (ATF6)","PDIA4","Tmx3",2,"low","No","Tmx3",FALSE,TRUE,FALSE,FALSE
"UPR (ATF6)","PDIA6","CaBP1",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"UPR (ATF6)","PDIA6","hlk",2,"moderate","No","hlk",TRUE,TRUE,FALSE,TRUE
"UPR (ATF6)","PDIA6","CG9302",2,"low","No","CG9302",FALSE,TRUE,TRUE,FALSE
"UPR (ATF6)","PDIA6","prtp",2,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"UPR (ATF6)","PDIA6","CG18132",2,"low","No","CG18132",FALSE,TRUE,TRUE,FALSE
"UPR (ATF6)","PDIA6","CG11790",2,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"UPR (ATF6)","SEL1L","Hrd3",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"UPR (ATF6)","SLC39A14","Zip71B",8,"moderate","Yes","Zip71B",TRUE,TRUE,FALSE,TRUE
"UPR (ATF6)","SLC39A14","foi",5,"moderate","No","foi",TRUE,TRUE,FALSE,TRUE
"UPR (ATF6)","SLC39A14","Catsup",3,"low","No","Catsup",FALSE,TRUE,FALSE,FALSE
"UPR (ATF6)","SLC39A14","Zip99C",3,"low","No","Zip99C",FALSE,TRUE,FALSE,FALSE
"UPR (ATF6)","TMEM50B","CG15012",13,"high","Yes","CG15012",TRUE,TRUE,TRUE,FALSE
"UPR (ATF6)","UGDH","sgl",13,"high","Yes","sgl",TRUE,TRUE,FALSE,TRUE
"UPR (ATF6)","HSD17B7","Wwox",1,"low","Yes",NA,FALSE,FALSE,FALSE,FALSE
"UPR (ATF6)","HSD17B7","CG11200",1,"low","Yes",NA,FALSE,FALSE,FALSE,FALSE
"UPR (ATF6)","STARD4","Start1",3,"moderate","Yes",NA,TRUE,FALSE,FALSE,FALSE
"UPR (ATF6)","ERP44","ERp44",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"UPR (ATF6)","ERP44","CG10029",11,"moderate","No","CG10029",TRUE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DERL2","Der-2",13,"high","Yes","Der-2",TRUE,TRUE,FALSE,TRUE
"UPR (IRE1/XBP1s)","DERL2","Der-1",3,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"UPR (IRE1/XBP1s)","DNAJB9","CG8476",2,"high","Yes","CG8476",TRUE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJB9","CG32641",2,"high","Yes","CG32641",TRUE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJB9","CG32640",2,"high","Yes","CG32640",TRUE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJB9","CG7130",2,"moderate","Yes","CG7130",TRUE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CG14650",1,"low","Yes","CG14650",FALSE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CG14695",1,"low","Yes","CG14695",FALSE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CG9302",1,"low","Yes","CG9302",FALSE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CG1428",1,"low","Yes","CG1428",FALSE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","prtp",1,"low","Yes",NA,FALSE,FALSE,FALSE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CG9168",1,"low","Yes","CG9168",FALSE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CG6236",1,"low","Yes",NA,FALSE,FALSE,FALSE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","shv",1,"low","Yes","shv",FALSE,TRUE,FALSE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CG18132",1,"low","Yes","CG18132",FALSE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CG11630",1,"low","Yes","CG11630",FALSE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CG3123",1,"low","Yes","CG3123",FALSE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CG15695",1,"low","Yes","CG15695",FALSE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CG11790",1,"low","Yes",NA,FALSE,FALSE,FALSE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","Dph4",1,"low","Yes","Dph4",FALSE,TRUE,FALSE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CG14731",1,"low","Yes","CG14731",FALSE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","Spec2",1,"low","Yes","Spec2",FALSE,TRUE,FALSE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CG10730",1,"low","Yes","CG10730",FALSE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","hlk",1,"low","Yes","hlk",FALSE,TRUE,FALSE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CG16854",1,"low","Yes","CG16854",FALSE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CG31933",1,"low","Yes","CG31933",FALSE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","DNAJC10","CaBP1",1,"low","Yes",NA,FALSE,FALSE,FALSE,FALSE
"UPR (IRE1/XBP1s)","HSPA13","Hsc70-2",3,"moderate","Yes","Hsc70-2",TRUE,TRUE,FALSE,TRUE
"UPR (IRE1/XBP1s)","HSPA13","Hsc70-1",3,"moderate","Yes",NA,TRUE,FALSE,FALSE,FALSE
"UPR (IRE1/XBP1s)","HSPA13","Hsp68",3,"moderate","Yes","Hsp68",TRUE,TRUE,FALSE,TRUE
"UPR (IRE1/XBP1s)","HSPA13","Hsc70-4",3,"moderate","Yes","Hsc70-4",TRUE,TRUE,FALSE,TRUE
"UPR (IRE1/XBP1s)","HSPA13","Hsc70-3",2,"low","No","Hsc70-3",FALSE,TRUE,FALSE,FALSE
"UPR (IRE1/XBP1s)","HSPA13","Hsp70Bc",2,"low","No","Hsp70Bc",FALSE,TRUE,FALSE,FALSE
"UPR (IRE1/XBP1s)","HSPA13","Hsp70Bbb",2,"low","No","Hsp70Bbb",FALSE,TRUE,FALSE,FALSE
"UPR (IRE1/XBP1s)","HSPA13","Hsp70Aa",2,"low","No","Hsp70Aa",FALSE,TRUE,FALSE,FALSE
"UPR (IRE1/XBP1s)","LMAN1","ergic53",12,"high","Yes","ergic53",TRUE,TRUE,FALSE,TRUE
"UPR (IRE1/XBP1s)","LMAN1","CG5510",2,"low","No","CG5510",FALSE,TRUE,TRUE,FALSE
"UPR (IRE1/XBP1s)","OSTC","CG9662",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"UPR (IRE1/XBP1s)","SRP19","Srp19",13,"high","Yes","Srp19",TRUE,TRUE,FALSE,TRUE
"UPR (IRE1/XBP1s)","SRPRB","SrpRbeta",12,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"UPR (IRE1/XBP1s)","SSR1","l(1)G0320",13,"high","Yes","l(1)G0320",TRUE,TRUE,FALSE,TRUE
"UPR (IRE1/XBP1s)","SSR3","CG5885",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"UPR (IRE1/XBP1s)","STT3A","Stt3A",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"UPR (IRE1/XBP1s)","STT3A","Stt3B",5,"moderate","No","Stt3B",TRUE,TRUE,FALSE,TRUE
"UPR (IRE1/XBP1s)","UFM1","Ufm1",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"UPR (IRE1/XBP1s)","MBNL2","mbl",10,"high","Yes","mbl",TRUE,TRUE,FALSE,TRUE
