human_entrez,human_symbol,fly_entrez,flybase_id,fly_symbol,diopt_score,max_score,best_forward,best_reverse,confidence,retained,methods,display_column,component_group,kegg_node_ids,grouping_rationale,grouping_reference,annotation_scope
1080,CFTR,35163,FBgn0051792,CG31792,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL,2,CFTR-related proteins,192,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1080,CFTR,326161,FBgn0051793,CG31793,4,13,False,False,moderate,True,eggNOG;Compara;Panther;orthoMCL,2,CFTR-related proteins,192,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1080,CFTR,42928,FBgn0039207,Cftr,4,13,False,False,moderate,True,eggNOG;Compara;Panther;orthoMCL,2,CFTR-related proteins,192,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
10890,RAB10,33025,FBgn0015789,Rab10,10,13,True,True,high,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoFinder;OrthoInspector;Panther;Phylome;SonicParanoid;orthoMCL,2,GLUT / TBC1D1 / Rab-related,207,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
10890,RAB10,40168,FBgn0262518,Rab8,4,13,False,False,moderate,True,eggNOG;OrthoFinder;orthoMCL;SonicParanoid,2,GLUT / TBC1D1 / Rab-related,207,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
10890,RAB10,318148,FBgn0052673,Rab9E,3,13,False,True,moderate,True,eggNOG;Panther;orthoMCL,2,GLUT / TBC1D1 / Rab-related,207,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
10890,RAB10,31993,FBgn0030221,Rab9Db,3,13,False,True,moderate,True,eggNOG;Panther;orthoMCL,2,GLUT / TBC1D1 / Rab-related,207,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
10890,RAB10,32029,FBgn0052670,Rab9Fb,3,13,False,True,moderate,True,eggNOG;Panther;orthoMCL,2,GLUT / TBC1D1 / Rab-related,207,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
10890,RAB10,318149,FBgn0067052,Rab9D,3,13,False,True,moderate,True,eggNOG;Panther;orthoMCL,2,GLUT / TBC1D1 / Rab-related,207,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
10891,PPARGC1A,40562,FBgn0037248,srl,8,13,True,True,high,True,Compara;Domainoid;eggNOG;OrthoDB;OrthoFinder;OrthoInspector;Panther;orthoMCL,4,Transcriptional regulators,49;50;148,"Human transcription factors, coactivators and the SIRT1 regulator represented in the pathway.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
110117499,P3R3URF-PIK3R3,33203,FBgn0020622,Pi3K21B,8,13,True,False,moderate,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;orthoMCL;SonicParanoid,1,Upstream signalling,13,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1149,CIDEA,36292,FBgn0028407,Drep3,9,13,True,True,high,True,Domainoid;eggNOG;OrthoDB;Hieranoid;OrthoFinder;Panther;Phylome;SonicParanoid;orthoMCL,3,CIDEA-related proteins,240,"Fly proteins mapped to human CIDEA, shown in the map as an AMPK-linked regulator; fly Drep family membership does not establish a lipid-storage function.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1149,CIDEA,35955,FBgn0028408,Drep2,7,13,False,True,moderate,True,Compara;eggNOG;OrthoDB;OrthoInspector;OrthoFinder;Panther;Phylome,3,CIDEA-related proteins,240,"Fly proteins mapped to human CIDEA, shown in the map as an AMPK-linked regulator; fly Drep family membership does not establish a lipid-storage function.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1149,CIDEA,36290,FBgn0024732,Drep1,7,13,False,True,moderate,True,Domainoid;eggNOG;OrthoDB;OrthoFinder;Panther;SonicParanoid;orthoMCL,3,CIDEA-related proteins,240,"Fly proteins mapped to human CIDEA, shown in the map as an AMPK-linked regulator; fly Drep family membership does not establish a lipid-storage function.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
126129,CPT1C,36109,FBgn0261862,whd,12,13,True,False,moderate,True,Compara;Domainoid;eggNOG;Inparanoid;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,3,Lipid metabolic enzymes,63,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1374,CPT1A,36109,FBgn0261862,whd,13,13,True,True,high,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Compara;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,3,Lipid metabolic enzymes,63,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1375,CPT1B,36109,FBgn0261862,whd,12,13,True,False,moderate,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,3,Lipid metabolic enzymes,63,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1385,CREB1,32817,FBgn0265784,CrebB,11,13,True,True,high,True,Compara;Domainoid;eggNOG;Inparanoid;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;orthoMCL;SonicParanoid,4,Transcriptional regulators,229,"Human transcription factors, coactivators and the SIRT1 regulator represented in the pathway.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
148,ADRA1A,43484,FBgn0266137,Dop1R2,5,13,True,True,high,True,eggNOG;OrthoFinder;Inparanoid;SonicParanoid;orthoMCL,1,Upstream signalling,176,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
148,ADRA1A,43982,FBgn0024944,Oamb,4,13,False,True,moderate,True,eggNOG;OrthoDB;OrthoFinder;orthoMCL,1,Upstream signalling,176,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
148327,CREB3L4,39682,FBgn0004396,CrebA,5,13,True,False,moderate,True,Compara;eggNOG;OrthoDB;OrthoInspector;orthoMCL,4,Transcriptional regulators,229,"Human transcription factors, coactivators and the SIRT1 regulator represented in the pathway.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1938,EEF2,35422,FBgn0000559,eEF2,13,13,True,True,high,True,Compara;Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,4,mTOR / translation / autophagy,124,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1978,EIF4EBP1,33569,FBgn0261560,Thor,11,13,True,False,moderate,True,Compara;Domainoid;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Panther;Phylome;SonicParanoid;orthoMCL,4,mTOR / translation / autophagy,127,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1994,ELAVL1,32245,FBgn0086675,fne,11,13,True,False,moderate,True,Domainoid;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;orthoMCL;SonicParanoid,4,RNA-binding proteins,158,Fly proteins mapped to the human ELAVL1/HuR RNA-binding component.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1994,ELAVL1,31000,FBgn0260400,elav,9,13,False,False,moderate,True,Domainoid;eggNOG;OrthoDB;OrthoFinder;Hieranoid;Panther;Phylome;orthoMCL;SonicParanoid,4,RNA-binding proteins,158,Fly proteins mapped to the human ELAVL1/HuR RNA-binding component.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1994,ELAVL1,33498,FBgn0010263,Rbp9,9,13,False,False,moderate,True,Domainoid;eggNOG;OrthoDB;OrthoFinder;OrthoInspector;Panther;Phylome;SonicParanoid;orthoMCL,4,RNA-binding proteins,158,Fly proteins mapped to the human ELAVL1/HuR RNA-binding component.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1994,ELAVL1,41892,FBgn0038345,maca,4,13,False,True,moderate,True,OrthoDB;OrthoFinder;Compara;orthoMCL,4,RNA-binding proteins,158,Fly proteins mapped to the human ELAVL1/HuR RNA-binding component.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1994,ELAVL1,3772180,FBgn0264270,Sxl,4,13,False,True,moderate,True,OrthoDB;OrthoFinder;Compara;orthoMCL,4,RNA-binding proteins,158,Fly proteins mapped to the human ELAVL1/HuR RNA-binding component.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1994,ELAVL1,31086,FBgn0024987,ssx,4,13,False,True,moderate,True,OrthoDB;OrthoFinder;Compara;orthoMCL,4,RNA-binding proteins,158,Fly proteins mapped to the human ELAVL1/HuR RNA-binding component.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
200186,CRTC2,39970,FBgn0036746,Crtc,7,13,True,False,moderate,True,Compara;Domainoid;OrthoDB;OrthoFinder;Panther;orthoMCL;SonicParanoid,4,Transcriptional regulators,140,"Human transcription factors, coactivators and the SIRT1 regulator represented in the pathway.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
207,AKT1,41957,FBgn0010379,Akt,12,13,True,True,high,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,1,Upstream signalling,12,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
208,AKT2,41957,FBgn0010379,Akt,12,13,True,True,high,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,1,Upstream signalling,12,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
2194,FASN,117361,FBgn0042627,FASN2,13,13,True,True,high,True,Compara;Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,3,Lipid metabolic enzymes,119,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
2194,FASN,33524,FBgn0283427,FASN1,13,13,True,True,high,True,Compara;Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,3,Lipid metabolic enzymes,119,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
2194,FASN,3355111,FBgn0287184,FASN3,8,13,False,True,moderate,True,Domainoid;eggNOG;OrthoDB;OrthoFinder;OrthoInspector;Panther;Phylome;orthoMCL,3,Lipid metabolic enzymes,119,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
2203,FBP1,35265,FBgn0032820,fbp,13,13,True,True,high,True,Compara;Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,2,Glucose metabolism,79,"Human enzymes involved in glycolysis, gluconeogenesis or glycogen synthesis.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
2308,FOXO1,41709,FBgn0038197,foxo,9,13,True,False,moderate,True,Domainoid;eggNOG;OrthoDB;OrthoFinder;OrthoInspector;Compara;Panther;SonicParanoid;orthoMCL,4,Transcriptional regulators,34;44,"Human transcription factors, coactivators and the SIRT1 regulator represented in the pathway.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
2309,FOXO3,41709,FBgn0038197,foxo,9,13,True,False,moderate,True,Domainoid;eggNOG;OrthoDB;OrthoFinder;OrthoInspector;Compara;Panther;SonicParanoid;orthoMCL,4,Transcriptional regulators,34;44,"Human transcription factors, coactivators and the SIRT1 regulator represented in the pathway.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
23216,TBC1D1,40704,FBgn0261261,plx,11,13,True,False,moderate,True,Domainoid;eggNOG;Inparanoid;OrthoFinder;OrthoInspector;Compara;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,2,GLUT / TBC1D1 / Rab-related,153,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
23411,SIRT1,34708,FBgn0024291,Sirt1,10,13,True,True,high,True,Compara;Domainoid;eggNOG;OrthoDB;OrthoFinder;OrthoInspector;Panther;Phylome;SonicParanoid;orthoMCL,4,Transcriptional regulators,48,"Human transcription factors, coactivators and the SIRT1 regulator represented in the pathway.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
2475,MTOR,47396,FBgn0021796,mTor,13,13,True,True,high,True,Compara;Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,4,mTOR / translation / autophagy,92,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
2538,G6PC1,33476,FBgn0031463,G6P,12,13,True,False,moderate,True,Compara;Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Panther;Phylome;SonicParanoid;orthoMCL,2,Glucose metabolism,110;166,"Human enzymes involved in glycolysis, gluconeogenesis or glycogen synthesis.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
28227,PPP2R3B,42368,FBgn0038744,CG4733,8,13,True,True,high,True,Domainoid;OrthoDB;OrthoFinder;OrthoInspector;Panther;Phylome;SonicParanoid;orthoMCL,1,PP2A-related proteins,157,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
2997,GYS1,41823,FBgn0266064,Glys,13,13,True,True,high,True,Compara;Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,2,Glucose metabolism,103,"Human enzymes involved in glycolysis, gluconeogenesis or glycogen synthesis.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
2998,GYS2,41823,FBgn0266064,Glys,13,13,True,True,high,True,Compara;Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,2,Glucose metabolism,103,"Human enzymes involved in glycolysis, gluconeogenesis or glycogen synthesis.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
31,ACACA,35761,FBgn0033246,ACC,12,13,True,False,moderate,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,3,Lipid metabolic enzymes,57;120,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
3156,HMGCR,42803,FBgn0263782,Hmgcr,13,13,True,True,high,True,Compara;Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,3,Lipid metabolic enzymes,175,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
3172,HNF4A,44544,FBgn0004914,Hnf4,11,13,True,True,high,True,Domainoid;eggNOG;Inparanoid;OrthoFinder;OrthoInspector;Compara;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,4,Transcriptional regulators,105,"Human transcription factors, coactivators and the SIRT1 regulator represented in the pathway.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
3172,HNF4A,40783,FBgn0037436,Hr83,2,13,False,True,moderate,True,Compara;OrthoDB,4,Transcriptional regulators,105,"Human transcription factors, coactivators and the SIRT1 regulator represented in the pathway.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
32,ACACB,35761,FBgn0033246,ACC,13,13,True,True,high,True,Compara;Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,3,Lipid metabolic enzymes,132,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
3480,IGF1R,42549,FBgn0283499,InR,13,13,True,True,high,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Compara;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,1,Upstream signalling,31,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
3480,IGF1R,41809,FBgn0038279,Sdr,5,13,False,True,moderate,True,Domainoid;eggNOG;Compara;Phylome;orthoMCL,1,Upstream signalling,31,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
3480,IGF1R,35181,FBgn0032752,CG10702,4,13,False,True,moderate,True,eggNOG;OrthoFinder;Phylome;orthoMCL,1,Upstream signalling,31,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
3630,INS,39149,FBgn0044051,Ilp1,2,13,True,False,moderate,True,eggNOG;OrthoFinder,1,Upstream signalling,9,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
3630,INS,39151,FBgn0044050,Ilp3,2,13,True,False,moderate,True,eggNOG;OrthoFinder,1,Upstream signalling,9,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
3630,INS,2768992,FBgn0044048,Ilp5,2,13,True,False,moderate,True,eggNOG;OrthoFinder,1,Upstream signalling,9,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
3643,INSR,42549,FBgn0283499,InR,11,13,True,False,moderate,True,Domainoid;eggNOG;Inparanoid;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,1,Upstream signalling,11,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
3643,INSR,35181,FBgn0032752,CG10702,4,13,False,True,moderate,True,eggNOG;OrthoFinder;Phylome;orthoMCL,1,Upstream signalling,11,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
3643,INSR,41809,FBgn0038279,Sdr,4,13,False,False,moderate,True,Domainoid;eggNOG;Phylome;orthoMCL,1,Upstream signalling,11,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
3667,IRS1,64880,FBgn0024248,chico,9,13,True,True,high,True,Compara;Domainoid;eggNOG;OrthoDB;OrthoFinder;OrthoInspector;Panther;SonicParanoid;orthoMCL,1,Upstream signalling,15,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
3991,LIPE,37289,FBgn0034491,Hsl,13,13,True,True,high,True,Compara;Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,3,Lipid metabolic enzymes,172,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
